CENTRE-OUEST,ZIRO,GAO,GAO,COLLEGE-PRIVE-BANGRE-NOOMA-DE-GAO
CENTRE-OUEST,SISSILI,LEO,LEO,COLLEGE-PRIVE-BON-BERGER
CENTRE-OUEST,ZIRO,GAO,PASSIN,COLLEGE-PRIVE-TEEGA-WENDE
CENTRE-OUEST,SANGUIE,POUNI,TITA,COLLEGE-PRIVE-LA-REFERENCE-DE-TITA
CENTRE-OUEST,BOULKIEMDE,THYOU,SOULA,COLLEGE-PRIVE-LA-SOLUTION-TAMPOURE-DE-SOULA

CENTRE-SUD,BAZEGA,SAPONE,SAPONE,LYCEE-PRIVE-FAROUDIYA-INTERNATIONNAL
CENTRE-SUD,ZOUNDWEOGO -GON-BOUSSOUGOU,GON-BOUSSOUGOU,COLLEGE-PRIVE-NABA-BOUGOUM
CENTRE-SUD,NAHOURI,PO,KAMPALA,COLLEGE-PRIVE-LE-REVEIL-DU-NAHOURI
CENTRE-SUD,BAZEGA,KOMBISSIRI,KOMBISSIRI,LYCEE-PRIVE-LA-RELEVE-DE-KOMBISSIRI

CENTRE,KADIOGO,OUAGADOUGOU/ARRDT.-9,SECTEUR-39,CEEP-PRIVE-NONGLOM-BEREKIA
CENTRE,KADIOGO,OUAGADOUGOU/ARRDT.-9,SECTEUR-39,CEEP-PRIVE-AU-ROYAUME-DES-PETITS-CHAMPIONS
CENTRE,KADIOGO,OUAGADOUGOU/ARRDT.-9,SECTEUR-37,CEEP-PRIVE-TAL-YAM
CENTRE,KADIOGO,OUAGADOUGOU/ARRDT.-4,SECTEUR-7,CEEP-PRIVE-LE-BON-BERGER-PLUS
CENTRE,KADIOGO,OUAGADOUGOU/ARRDT.-12,Secteur-53,CEEP-PRIVE-TENDRE-ENFANCE
CENTRE,KADIOGO,OUAGADOUGOU/ARRDT.-6,SECTEUR-28,CEEP-PRIVE-BARK-BIIGA
CENTRE,KADIOGO,OUAGADOUGOU/ARRDT.-9,SECTEUR-37,CEEP-PRIVE-LES-WINNERS-LES-GAGNANTS
CENTRE,KADIOGO,OUAGADOUGOU/ARRDT.-6,SECTEUR-27,CEEP-PRIVE-SAINT-MICHEL-ARCHANGE
CENTRE,KADIOGO,OUAGADOUGOU/ARRDT.-3,SECTEUR-16,CEEP-PRIVE-MY-LOVE
CENTRE,KADIOGO,OUAGADOUGOU/ARRDT.-9,SECTEUR-38,CEEP-PRIVE-SAINTE-EUGENIE
